Predictor,Coefficient,SD,CI_Lower,CI_Upper,HDI_Lower,HDI_Upper,Prob_Positive,Prob_Negative
Intercept,-0.15792399382635713,0.08773575157896771,-0.3289191372873798,0.009577218980731772,-0.3328582380570143,0.003855617995827996,0.0305,0.9695
Anxiety,0.2189143858639248,0.03479778974867325,0.1537808099534349,0.28928100309693655,0.15198277046439354,0.28689174178997556,1.0,0.0
Stress,0.556518905368296,0.033742925959591524,0.48845319997804443,0.6220308526337416,0.49363034787547216,0.6245626065481296,1.0,0.0
Shame,-0.03810924660299644,0.026688389030947363,-0.090769740129188,0.01515116972854737,-0.08978278554826673,0.015807547072945495,0.079,0.921
Guilt,0.06507175834015368,0.024743290665436665,0.017188960044361937,0.11321415857435746,0.017022913838316715,0.11288691866031919,0.99625,0.00375
SelfCompassion,0.07760476412214562,0.016385527104243097,0.045659164828253496,0.10972220553169201,0.04457986782052426,0.10833901962171183,1.0,0.0
SocialMediaAddiction,0.02901586879785036,0.014724809782612057,-9.691997358778285e-05,0.058922160031481104,-0.0010603062089861255,0.057672201135959104,0.9745,0.0255
CyberVictimization,0.03578734906922369,0.03614719415240927,-0.03520850153203133,0.10732158719165841,-0.03781738728791204,0.10399495210938325,0.83925,0.16075
